st	year	sld	party	pred.np	het
"DE"	2012.0	"10001"	"D"	-0.867820033925938	1.224610304
"DE"	2006.0	"10001"	"D"	-0.867820033925938	1.224610304
"DE"	2008.0	"10001"	"D"	-0.867820033925938	1.224610304
"DE"	2004.0	"10001"	"D"	-0.867820033925938	1.224610304
"DE"	2010.0	"10001"	"D"	-0.867820033925938	1.224610304
"DE"	2006.0	"10002"	"D"	-1.17218126086815	1.029035732
"DE"	2010.0	"10002"	"D"	-1.17218126086815	1.029035732
"DE"	2008.0	"10002"	"D"	-1.17218126086815	1.029035732
"DE"	2012.0	"10002"	"D"	-1.41735427497928	1.029035732
"DE"	2004.0	"10002"	"D"	-1.17218126086815	1.029035732
"DE"	2010.0	"10003"	"D"	-0.892568560054754	1.051077253
"DE"	2012.0	"10003"	"D"	-0.892568560054754	1.051077253
"DE"	2004.0	"10003"	"D"	-0.892568560054754	1.051077253
"DE"	2008.0	"10003"	"D"	-0.892568560054754	1.051077253
"DE"	2006.0	"10003"	"D"	-0.892568560054754	1.051077253
"DE"	2012.0	"10004"	"D"	-0.830114558289616	1.108637055
"DE"	2010.0	"10004"	"D"	-0.830114558289616	1.108637055
"DE"	2006.0	"10004"	"R"	0.0120611628349701	1.108637055
"DE"	2008.0	"10004"	"D"	-0.830114558289616	1.108637055
"DE"	2004.0	"10004"	"R"	0.0120611628349701	1.108637055
"DE"	2008.0	"10005"	"D"	-0.857502322187193	1.278827259
"DE"	2006.0	"10005"	"D"	-0.857502322187193	1.278827259
"DE"	2010.0	"10005"	"D"	-0.857502322187193	1.278827259
"DE"	2004.0	"10005"	"D"	-0.857502322187193	1.278827259
"DE"	2012.0	"10005"	"D"	-0.857502322187193	1.278827259
"DE"	2006.0	"10006"	"D"	-0.750340559447528	1.196703638
"DE"	2004.0	"10006"	"R"	-0.111768474735496	1.196703638
"DE"	2008.0	"10006"	"D"	-0.750340559447528	1.196703638
"DE"	2010.0	"10006"	"R"	-0.0300086996185578	1.196703638
"DE"	2012.0	"10006"	"D"	-0.920850879397086	1.196703638
"DE"	2004.0	"10007"	"R"	0.180097890980607	1.405426371
"DE"	2010.0	"10007"	"D"	-0.774188800998218	1.405426371
"DE"	2006.0	"10007"	"R"	0.180097890980607	1.405426371
"DE"	2008.0	"10007"	"R"	-0.63381033795386	1.405426371
"DE"	2012.0	"10007"	"D"	-0.774188800998218	1.405426371
"DE"	2008.0	"10008"	"D"	-0.675122128360339	1.095784555
"DE"	2006.0	"10008"	"D"	-0.675122128360339	1.095784555
"DE"	2012.0	"10008"	"D"	-0.833499568642775	1.095784555
"DE"	2010.0	"10008"	"D"	-0.833499568642775	1.095784555
"DE"	2004.0	"10008"	"D"	-0.675122128360339	1.095784555
"DE"	2006.0	"10009"	"R"	-0.0348326415614902	1.316429288
"DE"	2010.0	"10009"	"R"	-0.0348326415614902	1.316429288
"DE"	2012.0	"10009"	"D"	-0.774604446834212	1.316429288
"DE"	2004.0	"10009"	"R"	-0.0348326415614902	1.316429288
"DE"	2008.0	"10009"	"R"	-0.0348326415614902	1.316429288
"AL"	2008.0	"1001"	"D"	-0.41435524268864	1.221314628
"AL"	2010.0	"1001"	"D"	-0.41435524268864	1.221314628
"AL"	2004.0	"1001"	"D"	-0.0334363144908052	1.221314628
"AL"	2012.0	"1001"	"D"	-0.277975173183484	1.221314628
"DE"	2010.0	"10010"	"D"	-0.893749066830179	1.466503688
"DE"	2008.0	"10010"	"R"	0.198941961881189	1.466503688
"DE"	2004.0	"10010"	"R"	0.198941961881189	1.466503688
"DE"	2012.0	"10010"	"D"	-0.893749066830179	1.466503688
"DE"	2006.0	"10010"	"R"	0.198941961881189	1.466503688
"DE"	2004.0	"10011"	"R"	0.218516438806588	1.160071285
"DE"	2012.0	"10011"	"R"	0.218516438806588	1.160071285
"DE"	2010.0	"10011"	"R"	0.218516438806588	1.160071285
"DE"	2008.0	"10011"	"R"	0.218516438806588	1.160071285
"DE"	2006.0	"10011"	"R"	0.218516438806588	1.160071285
"DE"	2008.0	"10012"	"R"	0.085570628593906	1.163915315
"DE"	2004.0	"10012"	"R"	0.085570628593906	1.163915315
"DE"	2006.0	"10012"	"R"	0.085570628593906	1.163915315
"DE"	2010.0	"10012"	"R"	0.085570628593906	1.163915315
"DE"	2012.0	"10012"	"R"	0.085570628593906	1.163915315
"DE"	2012.0	"10013"	"D"	-0.812222348591394	1.079829034
"DE"	2010.0	"10013"	"D"	-0.812222348591394	1.079829034
"DE"	2008.0	"10013"	"D"	-0.812222348591394	1.079829034
"DE"	2004.0	"10013"	"D"	-0.867788683367314	1.079829034
"DE"	2006.0	"10013"	"D"	-0.867788683367314	1.079829034
"DE"	2010.0	"10014"	"D"	-0.83263277610463	1.431283514
"DE"	2008.0	"10014"	"D"	-0.83263277610463	1.431283514
"DE"	2006.0	"10014"	"D"	-0.83263277610463	1.431283514
"DE"	2012.0	"10014"	"D"	-0.83263277610463	1.431283514
"DE"	2004.0	"10014"	"D"	-0.83263277610463	1.431283514
"DE"	2004.0	"10015"	"R"	-0.185760354869147	1.30235435
"DE"	2010.0	"10015"	"D"	-0.651161940540416	1.30235435
"DE"	2012.0	"10015"	"D"	-0.651161940540416	1.30235435
"DE"	2006.0	"10015"	"D"	-0.651161940540416	1.30235435
"DE"	2004.0	"10016"	"D"	-0.629752099553338	0.876921225
"DE"	2008.0	"10016"	"D"	-1.09928583999624	0.876921225
"DE"	2012.0	"10016"	"D"	-1.09928583999624	0.876921225
"DE"	2010.0	"10016"	"D"	-1.09928583999624	0.876921225
"DE"	2006.0	"10016"	"D"	-1.09928583999624	0.876921225
"DE"	2010.0	"10017"	"D"	-0.945297366936495	1.198882573
"DE"	2006.0	"10017"	"D"	-0.945297366936495	1.198882573
"DE"	2012.0	"10017"	"D"	-0.945297366936495	1.198882573
"DE"	2004.0	"10017"	"D"	-0.945297366936495	1.198882573
"DE"	2008.0	"10017"	"D"	-0.945297366936495	1.198882573
"DE"	2006.0	"10018"	"R"	-0.143083225195458	1.284307137
"DE"	2008.0	"10018"	"R"	-0.143083225195458	1.284307137
"DE"	2004.0	"10018"	"R"	-0.143083225195458	1.284307137
"DE"	2012.0	"10018"	"D"	-0.959952137155945	1.284307137
"DE"	2010.0	"10018"	"D"	-0.959952137155945	1.284307137
"DE"	2012.0	"10019"	"D"	-0.731420190000367	1.000757924
"DE"	2008.0	"10019"	"D"	-0.731420190000367	1.000757924
"DE"	2006.0	"10019"	"D"	-0.731420190000367	1.000757924
"DE"	2010.0	"10019"	"D"	-0.731420190000367	1.000757924
"DE"	2004.0	"10019"	"D"	-0.731420190000367	1.000757924
"AL"	2008.0	"1002"	"D"	-0.125620739740749	1.14182733
"AL"	2004.0	"1002"	"R"	0.803526311810843	1.14182733
"AL"	2006.0	"1002"	"R"	0.803526311810843	1.14182733
"AL"	2010.0	"1002"	"D"	-0.125620739740749	1.14182733
"AL"	2012.0	"1002"	"R"	0.803526311810843	1.14182733
"DE"	2010.0	"10020"	"R"	0.0306000833049551	1.329997712
"DE"	2008.0	"10020"	"R"	0.0306000833049551	1.329997712
"DE"	2004.0	"10020"	"R"	-0.0291522681595327	1.329997712
"DE"	2006.0	"10020"	"R"	-0.0291522681595327	1.329997712
"DE"	2012.0	"10020"	"R"	0.0306000833049551	1.329997712
"DE"	2008.0	"10021"	"R"	0.0510095575716982	1.418529592
"DE"	2004.0	"10021"	"R"	0.0510095575716982	1.418529592
"DE"	2010.0	"10021"	"R"	-0.025735617006249	1.418529592
"DE"	2006.0	"10021"	"R"	0.0510095575716982	1.418529592
"DE"	2012.0	"10021"	"R"	-0.025735617006249	1.418529592
"DE"	2012.0	"10022"	"R"	0.00123727229754417	1.136230651
"DE"	2004.0	"10022"	"R"	0.00123727229754417	1.136230651
"DE"	2008.0	"10022"	"R"	0.00123727229754417	1.136230651
"DE"	2010.0	"10022"	"R"	0.00123727229754417	1.136230651
"DE"	2006.0	"10022"	"R"	0.00123727229754417	1.136230651
"DE"	2010.0	"10023"	"D"	-0.869192042843508	1.341713053
"DE"	2006.0	"10023"	"D"	-0.869192042843508	1.341713053
"DE"	2012.0	"10023"	"D"	-0.869192042843508	1.341713053
"DE"	2004.0	"10023"	"R"	0.130467340951541	1.341713053
"DE"	2008.0	"10023"	"D"	-0.869192042843508	1.341713053
"DE"	2004.0	"10024"	"R"	-0.273786799172878	1.255410479
"DE"	2010.0	"10024"	"R"	-0.273786799172878	1.255410479
"DE"	2008.0	"10024"	"R"	-0.273786799172878	1.255410479
"DE"	2012.0	"10024"	"D"	-1.04262902418416	1.255410479
"DE"	2006.0	"10024"	"R"	-0.273786799172878	1.255410479
"DE"	2004.0	"10025"	"R"	-0.0335125309444692	1.453658064
"DE"	2008.0	"10025"	"D"	-0.929951821184774	1.453658064
"DE"	2006.0	"10025"	"R"	-0.0335125309444692	1.453658064
"DE"	2010.0	"10025"	"D"	-0.929951821184774	1.453658064
"DE"	2012.0	"10025"	"D"	-0.929951821184774	1.453658064
"DE"	2006.0	"10026"	"D"	-0.924452076439201	1.082652776
"DE"	2012.0	"10026"	"D"	-0.924452076439201	1.082652776
"DE"	2004.0	"10026"	"D"	-0.924452076439201	1.082652776
"DE"	2008.0	"10026"	"D"	-0.924452076439201	1.082652776
"DE"	2010.0	"10026"	"D"	-0.924452076439201	1.082652776
"DE"	2012.0	"10027"	"D"	-0.811656662437065	1.18972587
"DE"	2008.0	"10027"	"R"	-0.158747908798282	1.18972587
"DE"	2010.0	"10027"	"D"	-0.811656662437065	1.18972587
"DE"	2004.0	"10027"	"R"	-0.158747908798282	1.18972587
"DE"	2006.0	"10027"	"R"	-0.158747908798282	1.18972587
"DE"	2012.0	"10028"	"D"	-0.47115553239253	1.226477744
"DE"	2006.0	"10028"	"D"	-0.413381793774623	1.226477744
"DE"	2010.0	"10028"	"D"	-0.47115553239253	1.226477744
"DE"	2008.0	"10028"	"D"	-0.47115553239253	1.226477744
"DE"	2004.0	"10028"	"D"	-0.413381793774623	1.226477744
"DE"	2008.0	"10028"	"D"	-0.413381793774623	1.226477744
"DE"	2010.0	"10029"	"R"	0.105291527860799	1.235573347
"DE"	2012.0	"10029"	"R"	0.172499764972689	1.235573347
"DE"	2004.0	"10029"	"R"	0.105291527860799	1.235573347
"DE"	2008.0	"10029"	"R"	0.105291527860799	1.235573347
"DE"	2006.0	"10029"	"R"	0.105291527860799	1.235573347
"AL"	2004.0	"1003"	"D"	-0.213243072152485	1.257225353
"AL"	2008.0	"1003"	"D"	-0.213243072152485	1.257225353
"AL"	2006.0	"1003"	"D"	-0.213243072152485	1.257225353
"AL"	2010.0	"1003"	"D"	-0.213243072152485	1.257225353
"AL"	2012.0	"1003"	"D"	-0.213243072152485	1.257225353
"DE"	2010.0	"10030"	"R"	0.358342085055227	1.394194411
"DE"	2012.0	"10030"	"R"	0.358342085055227	1.394194411
"DE"	2008.0	"10030"	"R"	0.358342085055227	1.394194411
"DE"	2006.0	"10030"	"R"	0.358342085055227	1.394194411
"DE"	2004.0	"10030"	"R"	0.216414427996895	1.394194411
"DE"	2010.0	"10031"	"D"	-0.752466349456681	1.421466692
"DE"	2012.0	"10031"	"D"	-0.752466349456681	1.421466692
"DE"	2006.0	"10031"	"R"	-0.00339400048607513	1.421466692
"DE"	2004.0	"10031"	"R"	-0.00339400048607513	1.421466692
"DE"	2008.0	"10031"	"R"	-0.00339400048607513	1.421466692
"DE"	2010.0	"10032"	"D"	-0.638019010310232	1.336112889
"DE"	2008.0	"10032"	"R"	0.139172397704732	1.336112889
"DE"	2006.0	"10032"	"R"	0.139172397704732	1.336112889
"DE"	2004.0	"10032"	"R"	0.139172397704732	1.336112889
"DE"	2012.0	"10032"	"D"	-0.638019010310232	1.336112889
"DE"	2012.0	"10033"	"R"	0.735619208905508	1.327259878
"DE"	2006.0	"10033"	"X"	0.0765682808827335	1.327259878
"DE"	2004.0	"10033"	"X"	0.0765682808827335	1.327259878
"DE"	2008.0	"10033"	"D"	-0.443221687922047	1.327259878
"DE"	2010.0	"10033"	"D"	-0.443221687922047	1.327259878
"DE"	2012.0	"10034"	"R"	-0.00688110343158899	1.316940425
"DE"	2008.0	"10034"	"R"	-0.00688110343158899	1.316940425
"DE"	2004.0	"10034"	"R"	0.0657640380460485	1.316940425
"DE"	2010.0	"10034"	"R"	-0.00688110343158899	1.316940425
"DE"	2006.0	"10034"	"R"	0.0657640380460485	1.316940425
"DE"	2008.0	"10035"	"R"	0.0949280903176603	1.197292621
"DE"	2012.0	"10035"	"R"	1.34270819921858	1.197292621
"DE"	2010.0	"10035"	"R"	1.34270819921858	1.197292621
"DE"	2004.0	"10035"	"R"	0.0949280903176603	1.197292621
"DE"	2006.0	"10035"	"R"	0.0949280903176603	1.197292621
"DE"	2004.0	"10036"	"R"	0.0967091830630913	1.393165834
"DE"	2008.0	"10036"	"R"	0.0967091830630913	1.393165834
"DE"	2006.0	"10036"	"R"	0.0967091830630913	1.393165834
"DE"	2012.0	"10036"	"R"	0.787582315698347	1.393165834
"DE"	2010.0	"10036"	"R"	0.0967091830630913	1.393165834
"DE"	2012.0	"10037"	"R"	0.51897224428645	1.225730675
"DE"	2008.0	"10037"	"R"	0.416431591163429	1.225730675
"DE"	2004.0	"10037"	"R"	0.416431591163429	1.225730675
"DE"	2010.0	"10037"	"R"	0.51897224428645	1.225730675
"DE"	2006.0	"10037"	"R"	0.416431591163429	1.225730675
"DE"	2010.0	"10038"	"R"	0.775790768034685	1.52066975
"DE"	2006.0	"10038"	"R"	0.775790768034685	1.52066975
"DE"	2004.0	"10038"	"R"	0.775790768034685	1.52066975
"DE"	2012.0	"10038"	"R"	0.775790768034685	1.52066975
"DE"	2008.0	"10038"	"R"	0.775790768034685	1.52066975
"DE"	2010.0	"10039"	"R"	0.167531518452848	1.386894648
"DE"	2012.0	"10039"	"R"	0.167531518452848	1.386894648
"DE"	2008.0	"10039"	"R"	0.167531518452848	1.386894648
"DE"	2006.0	"10039"	"R"	0.106765144071255	1.386894648
"DE"	2004.0	"10039"	"R"	0.106765144071255	1.386894648
"AL"	2012.0	"1004"	"R"	1.04612954083299	1.353533217
"AL"	2004.0	"1004"	"R"	1.04612954083299	1.353533217
"AL"	2006.0	"1004"	"R"	1.04612954083299	1.353533217
"AL"	2010.0	"1004"	"R"	1.04612954083299	1.353533217
"AL"	2008.0	"1004"	"R"	1.04612954083299	1.353533217
"DE"	2006.0	"10040"	"R"	0.295365508847537	1.365273744
"DE"	2010.0	"10040"	"R"	0.295365508847537	1.365273744
"DE"	2012.0	"10040"	"R"	0.295365508847537	1.365273744
"DE"	2004.0	"10040"	"R"	0.295365508847537	1.365273744
"DE"	2008.0	"10040"	"R"	0.295365508847537	1.365273744
"DE"	2006.0	"10041"	"R"	0.438857861988452	1.320248623
"DE"	2010.0	"10041"	"D"	-0.232288336951903	1.320248623
"DE"	2008.0	"10041"	"R"	1.18426876338902	1.320248623
"DE"	2004.0	"10041"	"R"	0.438857861988452	1.320248623
"DE"	2008.0	"10041"	"R"	0.438857861988452	1.320248623
"DE"	2012.0	"10041"	"D"	-0.232288336951903	1.320248623
"AL"	2012.0	"1005"	"R"	1.08586419315076	1.337253812
"AL"	2006.0	"1005"	"D"	0.111682854044755	1.337253812
"AL"	2010.0	"1005"	"D"	-0.203972627479239	1.337253812
"AL"	2008.0	"1005"	"D"	-0.203972627479239	1.337253812
"AL"	2004.0	"1005"	"D"	0.111682854044755	1.337253812
"AL"	2004.0	"1006"	"D"	-0.163916446810692	1.223109384
"AL"	2010.0	"1006"	"R"	0.859946644476192	1.223109384
"AL"	2012.0	"1006"	"R"	0.859946644476192	1.223109384
"AL"	2006.0	"1006"	"D"	-0.163916446810692	1.223109384
"AL"	2008.0	"1006"	"D"	-0.163916446810692	1.223109384
"AL"	2012.0	"1007"	"R"	1.39580897371667	1.186830765
"AL"	2006.0	"1007"	"D"	-0.106563569235034	1.186830765
"AL"	2004.0	"1007"	"D"	-0.106563569235034	1.186830765
"AL"	2008.0	"1007"	"D"	-0.106563569235034	1.186830765
"AL"	2004.0	"1008"	"D"	0.0801241392173749	1.252284967
"AL"	2010.0	"1008"	"D"	0.0801241392173749	1.252284967
"AL"	2012.0	"1008"	"R"	1.0467514979329	1.252284967
"AL"	2006.0	"1008"	"D"	0.0801241392173749	1.252284967
"AL"	2008.0	"1008"	"D"	0.0801241392173749	1.252284967
"AL"	2008.0	"1009"	"D"	-0.0569044075351826	1.269206243
"AL"	2012.0	"1009"	"R"	1.32098077899418	1.269206243
"AL"	2010.0	"1009"	"D"	-0.0569044075351826	1.269206243
"AL"	2004.0	"1009"	"D"	-0.0569044075351826	1.269206243
"AL"	2006.0	"1009"	"D"	-0.0569044075351826	1.269206243
"AL"	2006.0	"1010"	"R"	0.827303518254329	1.284733038
"AL"	2010.0	"1010"	"R"	0.827303518254329	1.284733038
